"Figure 1. Trends in April Snowpack in the Western United States, 1955-2016",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: Mote and Sharp, 2016",,,
Web update: August 2016,,,
Units: percent change,,,
,,,
State,Lat,Long,Trend (%)
WA,47.32,-121.34,-49.5049
WY,41.18,-106.17,-24.3286
WY,44.28,-110.63,-24.6287
WY,43.93,-110.43,-13.3658
WY,43.95,-110.45,-5.2984
WY,42.35,-110.77,-26.1872
WY,42.96,-110.61,-30.6873
WY,42.65,-108.87,-27.217
WY,41.36,-106.23,-22.8926
WY,44.79,-107.53,-8.8146
WY,43.7,-109.67,1.40121
WY,44.72,-110.51,-11.2503
WY,42.52,-110.88,-9.96421
WY,43.28,-109.45,-43.4658
WY,42.65,-110.81,-13.8708
WY,43.58,-109.8,-35.9206
WY,43.13,-110.2,-34.1387
WY,43.82,-110.27,-27.4559
WY,41.08,-106.17,-2.71095
WY,43.54,-109.75,-43.5344
WY,44,-110.73,-10.1722
WY,43.34,-110.43,-18.1537
WY,42.56,-108.83,-28.3967
WY,44.13,-110.83,-20.6608
WY,44.13,-110.83,-19.6095
WY,43.39,-110.13,-30.9274
WY,42.8,-110.9,-39.2743
WY,41.33,-106.2,-27.1819
WY,44.26,-106.98,-11.8775
WY,42.87,-109.09,-13.6345
WY,44.05,-110.68,-20.7938
WY,42.3,-110.68,-24.1856
WY,43.25,-110.02,-26.994
WY,44.55,-110.4,3.53655
WY,44.2,-110.67,-16.3873
WY,44.21,-110.67,-21.4471
WY,41.32,-106.18,-17.346
WY,43.5,-109.75,-16.3934
WY,43.17,-110.14,-18.8422
WY,44.92,-110.62,-45.8007
WY,43.87,-110.57,-25.9833
WY,44.75,-110.7,-36.6625
WY,41.32,-106.43,-9.48433
WY,41.15,-106.97,-13.8803
WY,43.66,-109.01,-17.709
WY,41.25,-105.42,45.1119
WY,44.54,-107.5,-21.0889
WY,41.32,-106.5,-22.4924
WY,42.51,-110.91,-16.8985
WY,43.63,-109.92,-36.4894
WY,44.13,-110.67,-24.055
WY,44.13,-110.67,-22.2959
WY,42.49,-110.53,-15.8843
WY,44.35,-107.01,-38.1228
WY,44.21,-107,-23.7024
WY,41.33,-106.5,-22.1225
WY,42.57,-108.84,-11.4199
WY,42.53,-110.66,-24.4153
WY,44.46,-110.14,-20.6331
WY,43.71,-109.64,-23.0635
WY,44.37,-110.57,-46.4254
WY,44.37,-110.58,-38.7743
WY,43.75,-110.05,-20.9375
WY,43.75,-110.06,-13.5298
WY,43.85,-110.28,-11.6238
WY,44.15,-110.22,18.77
WY,44.18,-107.25,-33.5388
