"Figure 5. Change in Unusually Cold Temperatures in the Contiguous 48 States, 1948-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: Change in number of days colder than 5th percentile,,,
,,,
State,Lat,Long,Change in 5 percent Days
NY,42.0997,-76.8358,0
NY,42.4497,-79.312,0
NY,43.0492,-74.3592,0
NY,42.7742,-77.6083,0
NY,43.755,-74.2692,-7.308184143
NY,42.4492,-76.4492,0
NY,44.2489,-73.985,-7.113809911
NY,44.7583,-74.6692,0
NY,43.0603,-74.8686,0
NY,43.1392,-78.6814,0
NY,43.7975,-75.4817,0
NY,41.7681,-74.155,0
NY,42.8417,-75.7264,-12.38381113
NY,42.5117,-75.5197,-8.512787724
NY,44.7281,-75.4442,0
NY,43.4622,-76.4933,0
NY,41.38,-74.6847,0
NY,43.0333,-73.8167,-17.90700194
NY,40.9586,-73.1047,0
NY,43.9,-75.0367,-8.846547315
NY,42.75,-73.6833,-11.22003334
NY,44.2308,-74.4383,0
NY,44.1481,-74.9003,0
NY,43.9761,-75.8753,0
NY,41.3906,-73.9608,-8.127272727
NY,41.2664,-73.7975,0
NC,35.3992,-80.1994,-15.59207161
NC,35.9086,-79.0794,-9.898976982
NC,36.0164,-76.5517,0
NC,36.3097,-76.205,-7.78747262
NC,35.0583,-78.8583,-10.06138107
NC,36.3481,-78.4119,0
NC,35.3297,-82.4492,-20.7544757
NC,35.0567,-83.1983,12.01278772
NC,35.1967,-77.5433,0
NC,35.915,-81.5378,0
NC,36.1028,-78.3039,-11.85421995
NC,34.6269,-79.025,0
NC,35.7072,-82.0289,19.04010695
NC,35.8036,-82.6658,0
NC,34.9797,-80.5233,0
NC,34.7336,-76.7358,0
NC,35.7297,-81.6728,0
NC,36.4992,-80.6508,0
NC,36.3825,-79.6947,-14.93741185
NC,35.6836,-80.4822,0
NC,35.5164,-78.3458,0
NC,33.9947,-78.0078,8.346501501
NC,35.81,-80.8808,0
NC,35.8847,-77.5386,0
NC,36.3919,-81.3039,0
NC,35.4867,-82.9683,0
NC,35.6939,-77.9456,0
ND,48.8217,-100.4525,-11.13043478
ND,48.9075,-103.2936,-14.64578005
ND,46.8911,-102.8111,-9.63125
ND,47.3467,-102.5869,-15.08233659
ND,46.05,-100.6667,-13.08196022
ND,46.1581,-98.4,-7.24168798
ND,48.4181,-97.4247,-19.89452152
ND,47.9217,-97.0981,-10.52046036
ND,45.9925,-102.6442,0
ND,47.4389,-97.0664,-12.10650075
ND,46.8844,-98.685,0
ND,48.7622,-98.3447,-10.26470588
ND,46.4386,-97.6856,-15.90969493
ND,46.8128,-100.9097,-12.64961637
ND,46.6706,-100.2294,-13.18001152
ND,46.3719,-102.3164,-13.39069186
ND,46.5067,-99.7692,-7.540920716
ND,46.5414,-102.8692,-10.13554987
ND,46.8886,-102.3192,-13.34910486
ND,48.3706,-100.3908,-6.511633076
ND,46.3233,-96.6108,0
ND,48.6061,-100.2911,-7.267263427
OH,40.8128,-83.6111,0
OH,40.2686,-80.9981,0
OH,41.0517,-81.9361,0
OH,39.6106,-82.9547,0
OH,40.2403,-81.8711,0
OH,41.2783,-84.3847,0
OH,40.3175,-83.0739,0
OH,41.0461,-83.6622,0
OH,40.1,-84.65,0
OH,39.2333,-83.6092,0
OH,41.3072,-81.0133,0
OH,40.6489,-83.6061,0
OH,39.6522,-81.8561,0
OH,40.5375,-81.9197,0
OH,40.7692,-80.8561,0
OH,41.2667,-82.6167,0
OH,41.2667,-82.2167,0
OH,39.8386,-81.9167,0
OH,38.7569,-82.8872,0
OH,41.1167,-83.1667,0
OH,40.8333,-83.2833,0
OH,40.0986,-83.7822,-9.39769821
OH,41.2019,-80.8106,8.346547315
OH,41.5183,-84.1453,0
OH,39.1114,-82.9797,0
OH,40.7833,-81.9167,0
OK,34.7864,-96.685,0
OK,34.5903,-99.3344,0
